,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,22.0,1,0,7.25,Third,unknown,Southampton,n
1,female,38.0,1,0,71.2833,First,C,Cherbourg,n
2,female,26.0,0,0,7.925,Third,unknown,Southampton,y
3,female,35.0,1,0,53.1,First,C,Southampton,n
4,male,28.0,0,0,8.4583,Third,unknown,Queenstown,y
5,male,2.0,3,1,21.075,Third,unknown,Southampton,n
6,female,27.0,0,2,11.1333,Third,unknown,Southampton,n
7,female,14.0,1,0,30.0708,Second,unknown,Cherbourg,n
8,female,4.0,1,1,16.7,Third,G,Southampton,n
9,male,20.0,0,0,8.05,Third,unknown,Southampton,y
10,male,39.0,1,5,31.275,Third,unknown,Southampton,n
11,female,14.0,0,0,7.8542,Third,unknown,Southampton,y
12,male,2.0,4,1,29.125,Third,unknown,Queenstown,n
13,male,28.0,0,0,13.0,Second,unknown,Southampton,y
14,female,31.0,1,0,18.0,Third,unknown,Southampton,n
15,female,28.0,0,0,7.225,Third,unknown,Cherbourg,y
16,male,35.0,0,0,26.0,Second,unknown,Southampton,y
17,male,28.0,0,0,35.5,First,A,Southampton,y
18,female,38.0,1,5,31.3875,Third,unknown,Southampton,n
19,male,28.0,0,0,7.225,Third,unknown,Cherbourg,y
20,male,19.0,3,2,263.0,First,C,Southampton,n
21,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
22,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
23,male,40.0,0,0,27.7208,First,unknown,Cherbourg,y
24,female,28.0,1,0,146.5208,First,B,Cherbourg,n
25,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
26,male,66.0,0,0,10.5,Second,unknown,Southampton,y
27,male,28.0,1,0,82.1708,First,unknown,Cherbourg,n
28,male,42.0,1,0,52.0,First,unknown,Southampton,n
29,male,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
30,female,14.0,1,0,11.2417,Third,unknown,Cherbourg,n
31,female,40.0,1,0,9.475,Third,unknown,Southampton,n
32,female,27.0,1,0,21.0,Second,unknown,Southampton,n
33,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
34,female,3.0,1,2,41.5792,Second,unknown,Cherbourg,n
35,male,28.0,0,0,8.05,Third,unknown,Southampton,y
36,male,28.0,1,0,15.5,Third,unknown,Queenstown,n
37,male,28.0,2,0,21.6792,Third,unknown,Cherbourg,n
38,female,18.0,1,0,17.8,Third,unknown,Southampton,n
39,male,7.0,4,1,39.6875,Third,unknown,Southampton,n
40,female,49.0,1,0,76.7292,First,D,Cherbourg,n
41,female,29.0,1,0,26.0,Second,unknown,Southampton,n
42,male,65.0,0,1,61.9792,First,B,Cherbourg,n
43,male,28.0,0,0,35.5,First,C,Southampton,y
44,female,21.0,0,0,10.5,Second,unknown,Southampton,y
45,male,28.5,0,0,7.2292,Third,unknown,Cherbourg,y
46,male,11.0,5,2,46.9,Third,unknown,Southampton,n
47,male,22.0,0,0,7.2292,Third,unknown,Cherbourg,y
48,female,38.0,0,0,80.0,First,B,unknown,y
49,male,45.0,1,0,83.475,First,C,Southampton,n
50,male,4.0,3,2,27.9,Third,unknown,Southampton,n
51,male,28.0,1,1,15.2458,Third,unknown,Cherbourg,n
52,male,19.0,0,0,8.1583,Third,unknown,Southampton,y
53,female,17.0,4,2,7.925,Third,unknown,Southampton,n
54,male,26.0,2,0,8.6625,Third,unknown,Southampton,n
55,male,32.0,0,0,10.5,Second,unknown,Southampton,y
56,male,21.0,0,0,73.5,Second,unknown,Southampton,y
57,male,32.0,0,0,56.4958,Third,unknown,Southampton,y
58,male,25.0,0,0,7.65,Third,F,Southampton,y
59,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
60,male,28.0,0,0,8.05,Third,unknown,Southampton,y
61,male,0.83,0,2,29.0,Second,unknown,Southampton,n
62,female,30.0,0,0,12.475,Third,unknown,Southampton,y
63,male,22.0,0,0,9.0,Third,unknown,Southampton,y
64,male,29.0,0,0,9.5,Third,unknown,Southampton,y
65,female,28.0,0,0,7.7875,Third,unknown,Queenstown,y
66,male,28.0,0,0,47.1,First,unknown,Southampton,y
67,male,16.0,1,3,34.375,Third,unknown,Southampton,n
68,male,28.0,0,0,8.05,Third,unknown,Southampton,y
69,female,23.0,3,2,263.0,First,C,Southampton,n
70,male,24.0,0,0,8.05,Third,unknown,Southampton,y
71,male,46.0,1,0,61.175,First,E,Southampton,n
72,male,59.0,0,0,7.25,Third,unknown,Southampton,y
73,male,28.0,0,0,8.05,Third,unknown,Southampton,y
74,male,71.0,0,0,34.6542,First,A,Cherbourg,y
75,male,23.0,0,1,63.3583,First,D,Cherbourg,n
76,female,34.0,0,1,23.0,Second,unknown,Southampton,n
77,male,34.0,1,0,26.0,Second,unknown,Southampton,n
78,female,28.0,0,0,7.8958,Third,unknown,Southampton,y
79,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
80,male,21.0,0,1,77.2875,First,D,Southampton,n
81,male,33.0,0,0,8.6542,Third,unknown,Southampton,y
82,male,37.0,2,0,7.925,Third,unknown,Southampton,n
83,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
84,male,28.0,0,0,7.775,Third,unknown,Southampton,y
85,female,28.0,1,0,24.15,Third,unknown,Queenstown,n
86,male,47.0,0,0,52.0,First,C,Southampton,y
87,female,14.5,1,0,14.4542,Third,unknown,Cherbourg,n
88,male,22.0,0,0,8.05,Third,unknown,Southampton,y
89,female,17.0,0,0,14.4583,Third,unknown,Cherbourg,y
90,male,21.0,0,0,7.925,Third,unknown,Southampton,y
91,male,70.5,0,0,7.75,Third,unknown,Queenstown,y
92,male,29.0,1,0,21.0,Second,unknown,Southampton,n
93,male,24.0,0,1,247.5208,First,B,Cherbourg,n
94,male,28.0,0,0,8.05,Third,unknown,Southampton,y
95,male,32.5,1,0,30.0708,Second,unknown,Cherbourg,n
96,female,32.5,0,0,13.0,Second,E,Southampton,y
97,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
98,male,24.0,0,0,7.1417,Third,unknown,Southampton,y
99,male,45.0,0,0,6.975,Third,unknown,Southampton,y
100,male,20.0,0,0,7.05,Third,unknown,Southampton,y
101,female,47.0,1,0,14.5,Third,unknown,Southampton,n
102,male,23.0,0,0,15.0458,Second,unknown,Cherbourg,y
103,female,19.0,0,2,26.2833,First,D,Southampton,n
104,male,37.0,1,0,53.1,First,C,Southampton,n
105,male,16.0,0,0,9.2167,Third,unknown,Southampton,y
106,male,24.0,0,0,79.2,First,B,Cherbourg,y
107,female,28.0,0,2,15.2458,Third,unknown,Cherbourg,n
108,female,22.0,0,0,7.75,Third,unknown,Southampton,y
109,male,19.0,0,0,6.75,Third,unknown,Queenstown,y
110,male,18.0,0,0,11.5,Second,unknown,Southampton,y
111,female,9.0,2,2,34.375,Third,unknown,Southampton,n
112,male,51.0,0,0,12.525,Second,unknown,Southampton,y
113,male,55.5,0,0,8.05,Third,unknown,Southampton,y
114,male,40.5,0,2,14.5,Third,unknown,Southampton,n
115,male,28.0,0,0,7.3125,Third,unknown,Southampton,y
116,male,51.0,0,1,61.3792,First,unknown,Cherbourg,n
117,female,16.0,0,0,7.7333,Third,unknown,Queenstown,y
118,male,28.0,0,0,8.6625,Third,unknown,Southampton,y
119,male,28.0,8,2,69.55,Third,unknown,Southampton,n
120,male,44.0,0,1,16.1,Third,unknown,Southampton,n
121,male,26.0,0,0,7.775,Third,unknown,Southampton,y
122,male,17.0,0,0,8.6625,Third,unknown,Southampton,y
123,male,1.0,4,1,39.6875,Third,unknown,Southampton,n
124,female,28.0,0,1,55.0,First,E,Southampton,n
125,male,28.0,0,0,56.4958,Third,unknown,Southampton,y
126,male,4.0,4,1,29.125,Third,unknown,Queenstown,n
127,male,18.0,1,1,7.8542,Third,unknown,Southampton,n
128,male,28.0,3,1,25.4667,Third,unknown,Southampton,n
129,female,50.0,0,0,28.7125,First,C,Cherbourg,y
130,male,30.0,0,0,13.0,Second,unknown,Southampton,y
131,male,36.0,0,0,0.0,Third,unknown,Southampton,y
132,female,28.0,8,2,69.55,Third,unknown,Southampton,n
133,male,28.0,0,0,15.05,Second,unknown,Cherbourg,y
134,male,9.0,4,2,31.3875,Third,unknown,Southampton,n
135,female,4.0,0,2,22.025,Third,unknown,Southampton,n
136,female,28.0,1,0,15.5,Third,unknown,Queenstown,n
137,male,45.0,0,0,26.55,First,unknown,Southampton,y
138,male,36.0,0,0,7.8958,Third,unknown,Southampton,y
139,female,32.0,0,0,13.0,Second,unknown,Southampton,y
140,female,19.0,1,0,7.8542,Third,unknown,Southampton,n
141,male,3.0,1,1,26.0,Second,F,Southampton,n
142,female,44.0,0,0,27.7208,First,B,Cherbourg,y
143,female,58.0,0,0,146.5208,First,B,Cherbourg,y
144,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
145,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
146,female,24.0,0,0,13.0,Second,unknown,Southampton,y
147,male,28.0,0,0,9.5,Third,unknown,Southampton,y
148,male,28.0,8,2,69.55,Third,unknown,Southampton,n
149,male,34.0,0,0,6.4958,Third,unknown,Southampton,y
150,female,2.0,0,1,10.4625,Third,G,Southampton,n
151,male,32.0,1,0,15.85,Third,unknown,Southampton,n
152,male,26.0,0,0,18.7875,Third,unknown,Cherbourg,y
153,female,16.0,0,0,7.75,Third,unknown,Queenstown,y
154,male,40.0,0,0,31.0,First,A,Cherbourg,y
155,female,35.0,0,0,21.0,Second,unknown,Southampton,y
156,male,22.0,0,0,7.25,Third,unknown,Southampton,y
157,male,28.0,1,0,7.75,Third,unknown,Queenstown,n
158,female,31.0,1,0,113.275,First,D,Cherbourg,n
159,female,27.0,0,0,7.925,Third,unknown,Southampton,y
160,male,42.0,1,0,27.0,Second,unknown,Southampton,n
161,male,30.0,0,0,10.5,Second,unknown,Southampton,y
162,male,16.0,0,0,8.05,Third,unknown,Southampton,y
163,male,51.0,0,0,8.05,Third,unknown,Southampton,y
164,male,22.0,0,0,9.35,Third,unknown,Southampton,y
165,male,19.0,0,0,10.5,Second,unknown,Southampton,y
166,male,20.5,0,0,7.25,Third,unknown,Southampton,y
167,male,18.0,0,0,13.0,Second,unknown,Southampton,y
168,female,28.0,3,1,25.4667,Third,unknown,Southampton,n
169,female,35.0,1,0,83.475,First,C,Southampton,n
170,male,29.0,0,0,7.775,Third,unknown,Southampton,y
171,male,59.0,0,0,13.5,Second,unknown,Southampton,y
172,female,28.0,0,0,7.55,Third,unknown,Southampton,y
173,male,44.0,1,0,26.0,Second,unknown,Southampton,n
174,male,19.0,0,0,10.5,Second,unknown,Southampton,y
175,male,33.0,0,0,12.275,Second,unknown,Southampton,y
176,female,28.0,1,0,14.4542,Third,unknown,Cherbourg,n
177,female,28.0,1,0,15.5,Third,unknown,Queenstown,n
178,male,22.0,0,0,7.125,Third,unknown,Southampton,y
179,male,30.0,0,0,7.225,Third,unknown,Cherbourg,y
180,male,44.0,2,0,90.0,First,C,Queenstown,n
181,female,24.0,0,2,14.5,Second,unknown,Southampton,n
182,male,28.0,0,0,7.25,Third,unknown,Southampton,y
183,female,29.0,1,1,10.4625,Third,G,Southampton,n
184,male,30.0,1,0,16.1,Third,unknown,Southampton,n
185,female,41.0,0,2,20.2125,Third,unknown,Southampton,n
186,female,28.0,0,0,79.2,First,unknown,Cherbourg,y
187,female,35.0,0,0,512.3292,First,unknown,Cherbourg,y
188,female,50.0,0,1,26.0,Second,unknown,Southampton,n
189,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
190,male,3.0,4,2,31.3875,Third,unknown,Southampton,n
191,male,40.0,0,0,0.0,First,B,Southampton,y
192,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
193,male,36.0,0,0,10.5,Second,unknown,Southampton,y
194,male,16.0,4,1,39.6875,Third,unknown,Southampton,n
195,male,25.0,1,0,7.775,Third,unknown,Southampton,n
196,female,58.0,0,1,153.4625,First,C,Southampton,n
197,female,35.0,0,0,135.6333,First,C,Southampton,y
198,male,28.0,0,0,31.0,First,unknown,Southampton,y
199,male,25.0,0,0,0.0,Third,unknown,Southampton,y
200,female,41.0,0,1,19.5,Second,unknown,Southampton,n
201,male,37.0,0,1,29.7,First,C,Cherbourg,n
202,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
203,female,63.0,1,0,77.9583,First,D,Southampton,n
204,female,45.0,0,0,7.75,Third,unknown,Southampton,y
205,male,28.0,0,0,0.0,Second,unknown,Southampton,y
206,male,7.0,4,1,29.125,Third,unknown,Queenstown,n
207,female,35.0,1,1,20.25,Third,unknown,Southampton,n
208,male,28.0,0,0,7.8542,Third,unknown,Southampton,y
209,male,16.0,0,0,9.5,Third,unknown,Southampton,y
210,male,28.0,0,0,26.0,First,A,Southampton,y
211,female,26.0,0,0,78.85,First,unknown,Southampton,y
212,male,36.0,0,0,12.875,Second,D,Cherbourg,y
213,male,24.0,0,0,7.8958,Third,unknown,Southampton,y
214,male,28.0,0,0,30.5,First,C,Southampton,y
215,female,50.0,0,1,247.5208,First,B,Cherbourg,n
216,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
217,male,19.0,0,0,0.0,Third,unknown,Southampton,y
218,female,28.0,0,0,12.35,Second,E,Queenstown,y
219,male,28.0,0,0,8.05,Third,unknown,Southampton,y
220,female,28.0,0,0,110.8833,First,unknown,Cherbourg,y
221,female,17.0,1,0,108.9,First,C,Cherbourg,n
222,male,30.0,1,0,24.0,Second,unknown,Cherbourg,n
223,female,30.0,0,0,56.9292,First,E,Cherbourg,y
224,female,24.0,0,0,83.1583,First,C,Cherbourg,y
225,female,18.0,2,2,262.375,First,B,Cherbourg,n
226,female,26.0,1,1,26.0,Second,unknown,Southampton,n
227,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
228,male,43.0,1,1,26.25,Second,unknown,Southampton,n
229,female,24.0,1,0,26.0,Second,unknown,Southampton,n
230,female,31.0,0,2,164.8667,First,C,Southampton,n
231,female,40.0,1,1,134.5,First,E,Cherbourg,n
232,male,22.0,0,0,7.25,Third,unknown,Southampton,y
233,male,27.0,0,0,7.8958,Third,unknown,Southampton,y
234,female,22.0,1,1,29.0,Second,unknown,Southampton,n
235,male,28.0,8,2,69.55,Third,unknown,Southampton,n
236,female,36.0,0,0,135.6333,First,C,Cherbourg,y
237,male,61.0,0,0,6.2375,Third,unknown,Southampton,y
238,female,31.0,1,1,20.525,Third,unknown,Southampton,n
239,female,28.0,2,0,23.25,Third,unknown,Queenstown,n
240,male,38.0,0,1,153.4625,First,C,Southampton,n
241,female,28.0,1,0,133.65,First,unknown,Southampton,n
242,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
243,male,29.0,1,0,66.6,First,C,Southampton,n
244,male,45.0,0,0,8.05,Third,unknown,Southampton,y
245,male,45.0,0,0,35.5,First,unknown,Southampton,y
246,male,28.0,0,0,13.0,Second,unknown,Southampton,y
247,male,25.0,0,0,13.0,Second,unknown,Southampton,y
248,male,36.0,0,0,13.0,Second,unknown,Southampton,y
249,female,24.0,0,0,13.0,Second,F,Southampton,y
250,female,40.0,0,0,13.0,Second,unknown,Southampton,y
251,female,28.0,1,0,16.1,Third,unknown,Southampton,n
252,male,15.0,1,1,7.2292,Third,unknown,Cherbourg,n
253,male,25.0,1,0,17.8,Third,unknown,Southampton,n
254,male,28.0,0,0,7.225,Third,unknown,Cherbourg,y
255,male,28.0,0,0,9.5,Third,unknown,Southampton,y
256,female,22.0,0,1,55.0,First,E,Southampton,n
257,female,38.0,0,0,13.0,Second,unknown,Southampton,y
258,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
259,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
260,male,40.0,1,4,27.9,Third,unknown,Southampton,n
261,male,29.0,1,0,27.7208,Second,unknown,Cherbourg,n
262,female,45.0,0,1,14.4542,Third,unknown,Cherbourg,n
263,male,35.0,0,0,7.05,Third,unknown,Southampton,y
264,male,28.0,1,0,15.5,Third,unknown,Queenstown,n
265,female,60.0,1,0,75.25,First,D,Cherbourg,n
266,female,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
267,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
268,female,24.0,0,0,69.3,First,B,Cherbourg,y
269,male,18.0,1,0,6.4958,Third,unknown,Southampton,n
270,male,19.0,0,0,8.05,Third,unknown,Southampton,y
271,female,28.0,1,0,82.1708,First,unknown,Cherbourg,n
272,male,27.0,0,2,211.5,First,C,Cherbourg,n
273,male,19.0,0,0,7.775,Third,unknown,Southampton,y
274,female,42.0,0,0,227.525,First,unknown,Cherbourg,y
275,male,32.0,0,0,7.925,Third,unknown,Southampton,y
276,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
277,male,18.0,0,0,73.5,Second,unknown,Southampton,y
278,male,1.0,5,2,46.9,Third,unknown,Southampton,n
279,male,28.0,0,0,7.7292,Third,unknown,Queenstown,y
280,female,17.0,0,0,12.0,Second,unknown,Cherbourg,y
281,male,36.0,1,2,120.0,First,B,Southampton,n
282,male,21.0,0,0,7.7958,Third,unknown,Southampton,y
283,female,23.0,1,0,113.275,First,D,Cherbourg,n
284,female,24.0,0,2,16.7,Third,G,Southampton,n
285,male,22.0,0,0,7.7958,Third,unknown,Southampton,y
286,female,31.0,0,0,7.8542,Third,unknown,Southampton,y
287,male,46.0,0,0,26.0,Second,unknown,Southampton,y
288,male,23.0,0,0,10.5,Second,unknown,Southampton,y
289,male,39.0,0,0,7.925,Third,unknown,Southampton,y
290,male,26.0,0,0,8.05,Third,unknown,Southampton,y
291,male,28.0,1,0,15.85,Third,unknown,Southampton,n
292,male,34.0,1,0,21.0,Second,unknown,Southampton,n
293,male,3.0,1,1,18.75,Second,unknown,Southampton,n
294,male,21.0,0,0,7.775,Third,unknown,Southampton,y
295,female,28.0,3,1,25.4667,Third,unknown,Southampton,n
296,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
297,male,28.0,0,0,6.8583,Third,unknown,Queenstown,y
298,male,28.0,0,0,0.0,Second,unknown,Southampton,y
299,male,44.0,0,0,7.925,Third,unknown,Southampton,y
300,female,28.0,0,0,8.05,Third,unknown,Southampton,y
301,female,34.0,1,1,32.5,Second,unknown,Southampton,n
302,female,18.0,0,2,13.0,Second,unknown,Southampton,n
303,male,30.0,0,0,13.0,Second,unknown,Southampton,y
304,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
305,male,21.0,0,0,7.7333,Third,unknown,Queenstown,y
306,male,18.0,1,1,20.2125,Third,unknown,Southampton,n
307,female,19.0,0,0,26.0,Second,unknown,Southampton,y
308,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
309,male,32.0,0,0,8.05,Third,E,Southampton,y
310,male,28.0,0,0,26.55,First,C,Southampton,y
311,female,28.0,1,0,16.1,Third,unknown,Southampton,n
