,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
312,female,42.0,1,0,26.0,Second,unknown,Southampton,n
313,male,17.0,0,0,7.125,Third,unknown,Southampton,y
314,male,50.0,1,0,55.9,First,E,Southampton,n
315,female,14.0,1,2,120.0,First,B,Southampton,n
316,female,24.0,2,3,18.75,Second,unknown,Southampton,n
317,male,64.0,1,4,263.0,First,C,Southampton,n
318,male,31.0,0,0,10.5,Second,unknown,Southampton,y
319,female,45.0,1,1,26.25,Second,unknown,Southampton,n
320,male,20.0,0,0,9.5,Third,unknown,Southampton,y
321,female,28.0,0,0,13.0,Second,unknown,Southampton,y
322,male,28.0,0,0,8.1125,Third,unknown,Southampton,y
323,male,34.0,0,0,26.55,First,unknown,Southampton,y
324,female,5.0,2,1,19.2583,Third,unknown,Cherbourg,n
325,male,52.0,0,0,30.5,First,C,Southampton,y
326,male,36.0,1,2,27.75,Second,unknown,Southampton,n
327,male,30.0,0,0,27.75,First,C,Cherbourg,y
328,male,49.0,1,0,89.1042,First,C,Cherbourg,n
329,male,29.0,0,0,7.8958,Third,unknown,Cherbourg,y
330,male,65.0,0,0,26.55,First,E,Southampton,y
331,female,28.0,1,0,51.8625,First,D,Southampton,n
332,male,48.0,0,0,26.55,First,E,Southampton,y
333,male,34.0,0,0,8.05,Third,unknown,Southampton,y
334,male,47.0,0,0,38.5,First,E,Southampton,y
335,male,28.0,0,0,8.05,Third,unknown,Southampton,y
336,male,38.0,0,0,7.05,Third,unknown,Southampton,y
337,male,56.0,0,0,26.55,First,unknown,Southampton,y
338,male,28.0,0,0,7.725,Third,unknown,Queenstown,y
339,female,0.75,2,1,19.2583,Third,unknown,Cherbourg,n
340,male,28.0,0,0,7.25,Third,unknown,Southampton,y
341,female,33.0,1,2,27.75,Second,unknown,Southampton,n
342,female,23.0,0,0,13.7917,Second,D,Cherbourg,y
343,male,28.0,0,0,52.0,First,A,Southampton,y
344,male,34.0,1,0,21.0,Second,unknown,Southampton,n
345,male,29.0,1,0,7.0458,Third,unknown,Southampton,n
346,female,2.0,0,1,12.2875,Third,unknown,Southampton,n
347,male,9.0,5,2,46.9,Third,unknown,Southampton,n
348,male,28.0,0,0,0.0,Second,unknown,Southampton,y
349,female,63.0,0,0,9.5875,Third,unknown,Southampton,y
350,male,25.0,1,0,91.0792,First,B,Cherbourg,n
351,female,28.0,3,1,25.4667,Third,unknown,Southampton,n
352,female,35.0,1,0,90.0,First,C,Southampton,n
353,male,58.0,0,0,29.7,First,B,Cherbourg,y
354,male,9.0,1,1,15.9,Third,unknown,Southampton,n
355,male,28.0,1,0,19.9667,Third,unknown,Southampton,n
356,male,71.0,0,0,49.5042,First,unknown,Cherbourg,y
357,male,21.0,0,0,8.05,Third,unknown,Southampton,y
358,female,25.0,1,2,151.55,First,C,Southampton,n
359,male,17.0,0,0,8.6625,Third,unknown,Southampton,y
360,female,21.0,0,0,7.75,Third,unknown,Queenstown,y
361,female,37.0,0,0,9.5875,Third,unknown,Southampton,y
362,male,18.0,1,0,108.9,First,C,Cherbourg,n
363,female,33.0,0,2,26.0,Second,unknown,Southampton,n
364,male,28.0,0,0,26.55,First,unknown,Southampton,y
365,male,26.0,0,0,56.4958,Third,unknown,Southampton,y
366,female,54.0,1,0,59.4,First,unknown,Cherbourg,n
367,male,24.0,0,0,7.4958,Third,unknown,Southampton,y
368,male,47.0,0,0,34.0208,First,D,Southampton,y
369,female,34.0,0,0,10.5,Second,F,Southampton,y
370,female,36.0,1,0,26.0,Second,unknown,Southampton,n
371,male,32.0,0,0,7.8958,Third,unknown,Southampton,y
372,female,30.0,0,0,93.5,First,B,Southampton,y
373,male,22.0,0,0,7.8958,Third,unknown,Southampton,y
374,female,44.0,0,1,57.9792,First,B,Cherbourg,n
375,male,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
376,male,40.5,0,0,7.75,Third,unknown,Queenstown,y
377,female,50.0,0,0,10.5,Second,unknown,Southampton,y
378,male,28.0,0,0,221.7792,First,C,Southampton,y
379,male,23.0,2,1,11.5,Second,unknown,Southampton,n
380,female,2.0,1,1,26.0,Second,unknown,Southampton,n
381,male,17.0,1,1,7.2292,Third,unknown,Cherbourg,n
382,female,28.0,0,2,22.3583,Third,unknown,Cherbourg,n
383,female,30.0,0,0,8.6625,Third,unknown,Southampton,y
384,female,7.0,0,2,26.25,Second,unknown,Southampton,n
385,male,45.0,0,0,26.55,First,B,Southampton,y
386,female,30.0,0,0,106.425,First,unknown,Cherbourg,y
387,female,22.0,0,2,49.5,First,B,Cherbourg,n
388,female,36.0,0,2,71.0,First,B,Southampton,n
389,female,9.0,4,2,31.275,Third,unknown,Southampton,n
390,female,11.0,4,2,31.275,Third,unknown,Southampton,n
391,male,50.0,1,0,106.425,First,C,Cherbourg,n
392,female,19.0,1,0,26.0,Second,unknown,Southampton,n
393,male,28.0,0,0,13.8625,Second,unknown,Cherbourg,y
394,male,33.0,1,1,20.525,Third,unknown,Southampton,n
395,male,17.0,0,2,110.8833,First,C,Cherbourg,n
396,male,27.0,0,0,26.0,Second,unknown,Southampton,y
397,male,28.0,0,0,7.8292,Third,unknown,Queenstown,y
398,female,22.0,0,0,7.775,Third,unknown,Southampton,y
399,female,48.0,1,0,39.6,First,A,Cherbourg,n
400,male,28.0,0,0,227.525,First,unknown,Cherbourg,y
401,female,39.0,1,1,79.65,First,E,Southampton,n
402,female,36.0,1,0,17.4,Third,unknown,Southampton,n
403,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
404,male,40.0,0,0,7.8958,Third,unknown,Southampton,y
405,male,28.0,0,0,8.05,Third,unknown,Southampton,y
406,male,24.0,2,0,24.15,Third,unknown,Southampton,n
407,male,19.0,0,0,7.8958,Third,unknown,Southampton,y
408,female,29.0,0,4,21.075,Third,unknown,Southampton,n
409,male,32.0,0,0,7.8542,Third,unknown,Southampton,y
410,male,62.0,0,0,10.5,Second,unknown,Southampton,y
411,female,53.0,2,0,51.4792,First,C,Southampton,n
412,male,36.0,0,0,26.3875,First,E,Southampton,y
413,male,16.0,0,0,8.05,Third,unknown,Southampton,y
414,female,34.0,0,0,13.0,Second,unknown,Southampton,y
415,female,25.0,1,1,30.0,Second,unknown,Southampton,n
416,male,36.0,0,0,40.125,First,A,Cherbourg,y
417,male,47.0,0,0,15.0,Second,unknown,Southampton,y
418,male,60.0,1,1,79.2,First,B,Cherbourg,n
419,male,28.0,0,0,8.05,Third,unknown,Southampton,y
420,male,35.0,0,0,7.125,Third,unknown,Southampton,y
421,female,52.0,1,0,78.2667,First,D,Cherbourg,n
422,male,47.0,0,0,7.25,Third,unknown,Southampton,y
423,female,28.0,0,2,7.75,Third,unknown,Queenstown,n
424,male,37.0,1,0,26.0,Second,unknown,Southampton,n
425,male,36.0,1,1,24.15,Third,unknown,Southampton,n
426,female,28.0,0,0,33.0,Second,unknown,Southampton,y
427,male,49.0,0,0,0.0,Third,unknown,Southampton,y
428,male,28.0,0,0,7.225,Third,unknown,Cherbourg,y
429,male,49.0,1,0,56.9292,First,A,Cherbourg,n
430,male,35.0,0,0,26.55,First,unknown,Cherbourg,y
431,male,36.0,1,0,15.55,Third,unknown,Southampton,n
432,male,30.0,0,0,7.8958,Third,unknown,Southampton,y
433,male,27.0,0,0,30.5,First,unknown,Southampton,y
434,female,22.0,1,2,41.5792,Second,unknown,Cherbourg,n
435,female,40.0,0,0,153.4625,First,C,Southampton,y
436,female,39.0,1,5,31.275,Third,unknown,Southampton,n
437,male,28.0,0,0,7.05,Third,unknown,Southampton,y
438,female,28.0,1,0,15.5,Third,unknown,Queenstown,n
439,male,35.0,0,0,8.05,Third,unknown,Southampton,y
440,female,24.0,1,2,65.0,Second,unknown,Southampton,n
441,male,34.0,1,1,14.4,Third,unknown,Southampton,n
442,male,26.0,0,0,10.5,Second,unknown,Southampton,y
443,male,20.0,1,1,15.7417,Third,unknown,Cherbourg,n
444,male,61.0,0,0,32.3208,First,D,Southampton,y
445,male,57.0,0,0,12.35,Second,unknown,Queenstown,y
446,female,21.0,0,0,77.9583,First,D,Southampton,y
447,male,26.0,0,0,7.8958,Third,unknown,Southampton,y
448,male,28.0,0,0,7.7333,Third,unknown,Queenstown,y
449,male,80.0,0,0,30.0,First,A,Southampton,y
450,male,51.0,0,0,7.0542,Third,unknown,Southampton,y
451,male,32.0,0,0,30.5,First,B,Cherbourg,y
452,female,9.0,3,2,27.9,Third,unknown,Southampton,n
453,female,28.0,0,0,13.0,Second,unknown,Southampton,y
454,male,32.0,0,0,7.925,Third,unknown,Southampton,y
455,female,41.0,0,5,39.6875,Third,unknown,Southampton,n
456,male,28.0,1,0,16.1,Third,unknown,Southampton,n
457,male,20.0,0,0,7.8542,Third,unknown,Southampton,y
458,male,28.0,0,0,56.4958,Third,unknown,Southampton,y
459,female,0.75,2,1,19.2583,Third,unknown,Cherbourg,n
460,male,48.0,1,0,76.7292,First,D,Cherbourg,n
461,male,28.0,0,0,7.55,Third,unknown,Southampton,y
462,female,23.0,0,0,7.55,Third,unknown,Southampton,y
463,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
464,female,18.0,0,1,23.0,Second,unknown,Southampton,n
465,male,21.0,0,0,8.4333,Third,unknown,Southampton,y
466,male,24.0,2,0,73.5,Second,unknown,Southampton,n
467,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
468,female,32.0,1,1,15.5,Third,unknown,Queenstown,n
469,male,50.0,2,0,133.65,First,unknown,Southampton,n
470,male,47.0,0,0,25.5875,First,E,Southampton,y
471,male,36.0,0,0,7.4958,Third,unknown,Southampton,y
472,male,20.0,1,0,7.925,Third,unknown,Southampton,n
473,male,25.0,0,0,13.0,Second,unknown,Southampton,y
474,male,28.0,0,0,7.775,Third,unknown,Southampton,y
475,male,43.0,0,0,8.05,Third,unknown,Southampton,y
476,female,40.0,1,1,39.0,Second,unknown,Southampton,n
477,male,31.0,1,0,52.0,First,B,Southampton,n
478,male,31.0,0,0,13.0,Second,unknown,Southampton,y
479,male,28.0,0,0,0.0,Second,unknown,Southampton,y
480,male,18.0,0,0,7.775,Third,unknown,Southampton,y
481,female,18.0,0,0,9.8417,Third,unknown,Southampton,y
482,male,36.0,0,1,512.3292,First,B,Cherbourg,n
483,male,27.0,0,0,76.7292,First,D,Cherbourg,y
484,male,20.0,0,0,9.225,Third,unknown,Southampton,y
485,male,14.0,5,2,46.9,Third,unknown,Southampton,n
486,male,60.0,1,1,39.0,Second,unknown,Southampton,n
487,male,19.0,0,0,10.1708,Third,unknown,Southampton,y
488,male,18.0,0,0,7.7958,Third,unknown,Southampton,y
489,female,15.0,0,1,211.3375,First,B,Southampton,n
490,male,31.0,1,0,57.0,First,B,Southampton,n
491,female,4.0,0,1,13.4167,Third,unknown,Cherbourg,n
492,male,28.0,0,0,56.4958,Third,unknown,Southampton,y
493,male,60.0,0,0,26.55,First,unknown,Southampton,y
494,female,28.0,0,0,7.7333,Third,unknown,Queenstown,y
495,male,49.0,1,1,110.8833,First,C,Cherbourg,n
496,male,35.0,0,0,26.2875,First,E,Southampton,y
497,male,25.0,0,0,7.7417,Third,unknown,Queenstown,y
498,male,39.0,0,0,26.0,Second,unknown,Southampton,y
499,female,22.0,0,0,151.55,First,unknown,Southampton,y
500,male,28.0,1,1,15.2458,Third,unknown,Cherbourg,n
501,female,24.0,0,0,49.5042,First,C,Cherbourg,y
502,male,28.0,0,0,26.55,First,C,Southampton,y
503,male,48.0,1,0,52.0,First,C,Southampton,n
504,male,29.0,0,0,9.4833,Third,unknown,Southampton,y
505,male,19.0,0,0,7.65,Third,F,Southampton,y
506,female,38.0,0,0,227.525,First,C,Cherbourg,y
507,female,27.0,0,0,10.5,Second,E,Southampton,y
508,male,28.0,0,0,15.5,Third,unknown,Queenstown,y
509,male,33.0,0,0,7.775,Third,unknown,Southampton,y
510,female,6.0,0,1,33.0,Second,unknown,Southampton,n
511,male,50.0,0,0,13.0,Second,unknown,Southampton,y
512,male,27.0,1,0,53.1,First,E,Southampton,n
513,female,30.0,3,0,21.0,Second,unknown,Southampton,n
514,male,25.0,1,0,26.0,Second,unknown,Southampton,n
515,female,25.0,1,0,7.925,Third,unknown,Southampton,n
516,female,29.0,0,0,211.3375,First,B,Southampton,y
517,male,11.0,0,0,18.7875,Third,unknown,Cherbourg,y
518,male,28.0,0,0,0.0,Second,unknown,Southampton,y
519,male,23.0,0,0,13.0,Second,unknown,Southampton,y
520,male,23.0,0,0,13.0,Second,unknown,Southampton,y
521,male,35.0,0,0,512.3292,First,B,Cherbourg,y
522,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
523,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
524,male,36.0,1,0,78.85,First,C,Southampton,n
525,female,21.0,2,2,262.375,First,B,Cherbourg,n
526,male,24.0,1,0,16.1,Third,unknown,Southampton,n
527,male,70.0,1,1,71.0,First,B,Southampton,n
528,female,4.0,1,1,23.0,Second,unknown,Southampton,n
529,male,6.0,0,1,12.475,Third,E,Southampton,n
530,male,33.0,0,0,9.5,Third,unknown,Southampton,y
531,male,23.0,0,0,7.8958,Third,unknown,Southampton,y
532,female,48.0,1,2,65.0,Second,unknown,Southampton,n
533,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
534,male,34.0,0,0,8.05,Third,unknown,Southampton,y
535,male,28.0,0,0,14.5,Third,unknown,Southampton,y
536,male,41.0,0,0,7.125,Third,unknown,Southampton,y
537,male,20.0,0,0,7.2292,Third,unknown,Cherbourg,y
538,female,51.0,1,0,77.9583,First,D,Southampton,n
539,male,28.0,0,0,39.6,First,unknown,Cherbourg,y
540,male,28.0,1,0,24.15,Third,unknown,Queenstown,n
541,male,32.0,0,0,8.3625,Third,unknown,Southampton,y
542,male,48.0,0,0,7.8542,Third,unknown,Southampton,y
543,female,57.0,0,0,10.5,Second,E,Southampton,y
544,male,18.0,0,0,7.75,Third,unknown,Southampton,y
545,male,28.0,0,0,7.75,Third,F,Queenstown,y
546,female,5.0,0,0,12.475,Third,unknown,Southampton,y
547,female,17.0,1,0,57.0,First,B,Southampton,n
548,male,29.0,0,0,30.0,First,D,Southampton,y
549,male,28.0,1,2,23.45,Third,unknown,Southampton,n
550,male,25.0,0,0,7.05,Third,unknown,Southampton,y
551,male,1.0,1,2,20.575,Third,unknown,Southampton,n
552,male,46.0,0,0,79.2,First,B,Cherbourg,y
553,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
554,male,16.0,0,0,26.0,Second,unknown,Southampton,y
555,female,28.0,8,2,69.55,Third,unknown,Southampton,n
556,male,28.0,0,0,30.6958,First,unknown,Cherbourg,y
557,male,25.0,0,0,7.8958,Third,unknown,Southampton,y
558,male,39.0,0,0,13.0,Second,unknown,Southampton,y
559,female,49.0,0,0,25.9292,First,D,Southampton,y
560,female,31.0,0,0,8.6833,Third,unknown,Southampton,y
561,male,30.0,0,0,7.2292,Third,unknown,Cherbourg,y
562,female,30.0,1,1,24.15,Third,unknown,Southampton,n
563,male,34.0,0,0,13.0,Second,unknown,Southampton,y
564,female,31.0,1,1,26.25,Second,unknown,Southampton,n
565,male,11.0,1,2,120.0,First,B,Southampton,n
566,male,31.0,0,0,7.775,Third,unknown,Southampton,y
567,male,39.0,0,0,0.0,First,A,Southampton,y
568,male,39.0,0,0,13.0,Second,unknown,Southampton,y
569,female,33.0,1,0,53.1,First,E,Southampton,n
570,male,26.0,0,0,7.8875,Third,unknown,Southampton,y
571,male,39.0,0,0,24.15,Third,unknown,Southampton,y
572,male,35.0,0,0,10.5,Second,unknown,Southampton,y
573,male,30.5,0,0,8.05,Third,unknown,Southampton,y
574,male,28.0,0,0,0.0,First,B,Southampton,y
575,female,23.0,0,0,7.925,Third,unknown,Southampton,y
576,male,31.0,1,1,37.0042,Second,unknown,Cherbourg,n
577,male,10.0,3,2,27.9,Third,unknown,Southampton,n
578,female,52.0,1,1,93.5,First,B,Southampton,n
579,male,27.0,0,0,8.6625,Third,unknown,Southampton,y
580,male,2.0,4,1,39.6875,Third,unknown,Southampton,n
581,male,28.0,0,0,6.95,Third,unknown,Queenstown,y
582,male,28.0,0,0,56.4958,Third,unknown,Southampton,y
583,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
584,female,15.0,1,0,14.4542,Third,unknown,Cherbourg,n
585,male,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
586,male,23.0,0,0,7.8542,Third,unknown,Southampton,y
587,male,18.0,0,0,8.3,Third,unknown,Southampton,y
588,female,39.0,1,1,83.1583,First,E,Cherbourg,n
589,male,21.0,0,0,8.6625,Third,unknown,Southampton,y
590,male,28.0,0,0,8.05,Third,unknown,Southampton,y
591,male,28.0,0,0,29.7,First,C,Cherbourg,y
592,male,16.0,0,0,10.5,Second,unknown,Southampton,y
593,female,30.0,0,0,31.0,First,unknown,Cherbourg,y
594,male,34.5,0,0,6.4375,Third,unknown,Cherbourg,y
595,male,42.0,0,0,7.55,Third,unknown,Southampton,y
596,male,28.0,8,2,69.55,Third,unknown,Southampton,n
597,male,35.0,0,0,7.8958,Third,unknown,Cherbourg,y
598,male,28.0,0,1,33.0,Second,unknown,Southampton,n
599,female,28.0,1,0,89.1042,First,C,Cherbourg,n
600,male,4.0,4,2,31.275,Third,unknown,Southampton,n
601,female,16.0,0,1,39.4,First,D,Southampton,n
602,female,18.0,0,1,9.35,Third,unknown,Southampton,n
603,female,45.0,1,1,164.8667,First,unknown,Southampton,n
604,male,51.0,0,0,26.55,First,E,Southampton,y
605,female,24.0,0,3,19.2583,Third,unknown,Cherbourg,n
606,male,41.0,2,0,14.1083,Third,unknown,Southampton,n
607,male,24.0,0,0,13.0,Second,unknown,Southampton,y
608,female,42.0,0,0,13.0,Second,unknown,Southampton,y
609,female,27.0,1,0,13.8583,Second,unknown,Cherbourg,n
610,male,31.0,0,0,50.4958,First,A,Southampton,y
611,male,4.0,1,1,11.1333,Third,unknown,Southampton,n
612,male,26.0,0,0,7.8958,Third,unknown,Southampton,y
613,female,47.0,1,1,52.5542,First,D,Southampton,n
614,male,33.0,0,0,5.0,First,B,Southampton,y
615,male,47.0,0,0,9.0,Third,unknown,Southampton,y
616,female,28.0,1,0,24.0,Second,unknown,Cherbourg,n
617,female,15.0,0,0,7.225,Third,unknown,Cherbourg,y
618,male,20.0,0,0,9.8458,Third,unknown,Southampton,y
619,male,19.0,0,0,7.8958,Third,unknown,Southampton,y
620,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
621,female,22.0,0,0,10.5167,Third,unknown,Southampton,y
622,male,28.0,0,0,10.5,Second,unknown,Southampton,y
623,male,25.0,0,0,7.05,Third,unknown,Southampton,y
624,female,19.0,0,0,30.0,First,B,Southampton,y
625,female,28.0,1,2,23.45,Third,unknown,Southampton,n
626,male,32.0,0,0,7.75,Third,unknown,Queenstown,y
